,date,count,n_positive,neutral,n_negative
0,2019-01-01,0,0,0,0
1,2019-01-02,0,0,0,0
2,2019-01-03,0,0,0,0
3,2019-01-04,0,0,0,0
4,2019-01-05,0,0,0,0
5,2019-01-06,0,0,0,0
6,2019-01-07,0,0,0,0
7,2019-01-08,0,0,0,0
8,2019-01-09,0,0,0,0
9,2019-01-10,0,0,0,0
10,2019-01-11,0,0,0,0
11,2019-01-12,0,0,0,0
12,2019-01-13,0,0,0,0
13,2019-01-14,0,0,0,0
14,2019-01-15,0,0,0,0
15,2019-01-16,0,0,0,0
16,2019-01-17,0,0,0,0
17,2019-01-18,0,0,0,0
18,2019-01-19,0,0,0,0
19,2019-01-20,0,0,0,0
20,2019-01-21,0,0,0,0
21,2019-01-22,0,0,0,0
22,2019-01-23,0,0,0,0
23,2019-01-24,0,0,0,0
24,2019-01-25,0,0,0,0
25,2019-01-26,0,0,0,0
26,2019-01-27,0,0,0,0
27,2019-01-28,0,0,0,0
28,2019-01-29,0,0,0,0
29,2019-01-30,0,0,0,0
30,2019-01-31,0,0,0,0
31,2019-02-01,0,0,0,0
32,2019-02-02,0,0,0,0
33,2019-02-03,0,0,0,0
34,2019-02-04,0,0,0,0
35,2019-02-05,0,0,0,0
36,2019-02-06,0,0,0,0
37,2019-02-07,0,0,0,0
38,2019-02-08,0,0,0,0
39,2019-02-09,0,0,0,0
40,2019-02-10,0,0,0,0
41,2019-02-11,0,0,0,0
42,2019-02-12,0,0,0,0
43,2019-02-13,0,0,0,0
44,2019-02-14,0,0,0,0
45,2019-02-15,0,0,0,0
46,2019-02-16,0,0,0,0
47,2019-02-17,0,0,0,0
48,2019-02-18,0,0,0,0
49,2019-02-19,0,0,0,0
50,2019-02-20,0,0,0,0
51,2019-02-21,0,0,0,0
52,2019-02-22,0,0,0,0
53,2019-02-23,0,0,0,0
54,2019-02-24,0,0,0,0
55,2019-02-25,0,0,0,0
56,2019-02-26,0,0,0,0
57,2019-02-27,0,0,0,0
58,2019-02-28,0,0,0,0
59,2019-03-01,0,0,0,0
60,2019-03-02,0,0,0,0
61,2019-03-03,0,0,0,0
62,2019-03-04,0,0,0,0
63,2019-03-05,0,0,0,0
64,2019-03-06,0,0,0,0
65,2019-03-07,0,0,0,0
66,2019-03-08,0,0,0,0
67,2019-03-09,0,0,0,0
68,2019-03-10,0,0,0,0
69,2019-03-11,0,0,0,0
70,2019-03-12,0,0,0,0
71,2019-03-13,0,0,0,0
72,2019-03-14,0,0,0,0
73,2019-03-15,0,0,0,0
74,2019-03-16,0,0,0,0
75,2019-03-17,0,0,0,0
76,2019-03-18,0,0,0,0
77,2019-03-19,0,0,0,0
78,2019-03-20,0,0,0,0
79,2019-03-21,0,0,0,0
80,2019-03-22,0,0,0,0
81,2019-03-23,0,0,0,0
82,2019-03-24,0,0,0,0
83,2019-03-25,0,0,0,0
84,2019-03-26,0,0,0,0
85,2019-03-27,0,0,0,0
86,2019-03-28,0,0,0,0
87,2019-03-29,0,0,0,0
88,2019-03-30,0,0,0,0
89,2019-03-31,0,0,0,0
90,2019-04-01,0,0,0,0
91,2019-04-02,0,0,0,0
92,2019-04-03,0,0,0,0
93,2019-04-04,0,0,0,0
94,2019-04-05,0,0,0,0
95,2019-04-06,0,0,0,0
96,2019-04-07,0,0,0,0
97,2019-04-08,0,0,0,0
98,2019-04-09,0,0,0,0
99,2019-04-10,0,0,0,0
100,2019-04-11,0,0,0,0
101,2019-04-12,0,0,0,0
102,2019-04-13,0,0,0,0
103,2019-04-14,0,0,0,0
104,2019-04-15,0,0,0,0
105,2019-04-16,0,0,0,0
106,2019-04-17,0,0,0,0
107,2019-04-18,0,0,0,0
108,2019-04-19,0,0,0,0
109,2019-04-20,0,0,0,0
110,2019-04-21,0,0,0,0
111,2019-04-22,0,0,0,0
112,2019-04-23,0,0,0,0
113,2019-04-24,0,0,0,0
114,2019-04-25,0,0,0,0
115,2019-04-26,0,0,0,0
116,2019-04-27,0,0,0,0
117,2019-04-28,0,0,0,0
118,2019-04-29,0,0,0,0
119,2019-04-30,0,0,0,0
120,2019-05-01,0,0,0,0
121,2019-05-02,0,0,0,0
122,2019-05-03,0,0,0,0
123,2019-05-04,0,0,0,0
124,2019-05-05,0,0,0,0
125,2019-05-06,0,0,0,0
126,2019-05-07,0,0,0,0
127,2019-05-08,0,0,0,0
128,2019-05-09,0,0,0,0
129,2019-05-10,0,0,0,0
130,2019-05-11,0,0,0,0
131,2019-05-12,0,0,0,0
132,2019-05-13,0,0,0,0
133,2019-05-14,0,0,0,0
134,2019-05-15,0,0,0,0
135,2019-05-16,0,0,0,0
136,2019-05-17,0,0,0,0
137,2019-05-18,0,0,0,0
138,2019-05-19,0,0,0,0
139,2019-05-20,0,0,0,0
140,2019-05-21,0,0,0,0
141,2019-05-22,0,0,0,0
142,2019-05-23,0,0,0,0
143,2019-05-24,0,0,0,0
144,2019-05-25,0,0,0,0
145,2019-05-26,0,0,0,0
146,2019-05-27,0,0,0,0
147,2019-05-28,0,0,0,0
148,2019-05-29,0,0,0,0
149,2019-05-30,0,0,0,0
150,2019-05-31,0,0,0,0
151,2019-06-01,0,0,0,0
152,2019-06-02,0,0,0,0
153,2019-06-03,0,0,0,0
154,2019-06-04,0,0,0,0
155,2019-06-05,0,0,0,0
156,2019-06-06,0,0,0,0
157,2019-06-07,0,0,0,0
158,2019-06-08,0,0,0,0
159,2019-06-09,0,0,0,0
160,2019-06-10,0,0,0,0
161,2019-06-11,0,0,0,0
162,2019-06-12,0,0,0,0
163,2019-06-13,0,0,0,0
164,2019-06-14,0,0,0,0
165,2019-06-15,0,0,0,0
166,2019-06-16,0,0,0,0
167,2019-06-17,0,0,0,0
168,2019-06-18,0,0,0,0
169,2019-06-19,0,0,0,0
170,2019-06-20,0,0,0,0
171,2019-06-21,0,0,0,0
172,2019-06-22,0,0,0,0
173,2019-06-23,0,0,0,0
174,2019-06-24,0,0,0,0
175,2019-06-25,0,0,0,0
176,2019-06-26,0,0,0,0
177,2019-06-27,0,0,0,0
178,2019-06-28,0,0,0,0
179,2019-06-29,0,0,0,0
180,2019-06-30,0,0,0,0
181,2019-07-01,0,0,0,0
182,2019-07-02,0,0,0,0
183,2019-07-03,0,0,0,0
184,2019-07-04,0,0,0,0
185,2019-07-05,0,0,0,0
186,2019-07-06,0,0,0,0
187,2019-07-07,0,0,0,0
188,2019-07-08,0,0,0,0
189,2019-07-09,0,0,0,0
190,2019-07-10,0,0,0,0
191,2019-07-11,0,0,0,0
192,2019-07-12,0,0,0,0
193,2019-07-13,0,0,0,0
194,2019-07-14,0,0,0,0
195,2019-07-15,0,0,0,0
196,2019-07-16,0,0,0,0
197,2019-07-17,0,0,0,0
198,2019-07-18,0,0,0,0
199,2019-07-19,0,0,0,0
200,2019-07-20,0,0,0,0
201,2019-07-21,0,0,0,0
202,2019-07-22,0,0,0,0
203,2019-07-23,0,0,0,0
204,2019-07-24,0,0,0,0
205,2019-07-25,0,0,0,0
206,2019-07-26,0,0,0,0
207,2019-07-27,0,0,0,0
208,2019-07-28,0,0,0,0
209,2019-07-29,0,0,0,0
210,2019-07-30,0,0,0,0
211,2019-07-31,0,0,0,0
212,2019-08-01,0,0,0,0
213,2019-08-02,0,0,0,0
214,2019-08-03,0,0,0,0
215,2019-08-04,0,0,0,0
216,2019-08-05,0,0,0,0
217,2019-08-06,0,0,0,0
218,2019-08-07,0,0,0,0
219,2019-08-08,0,0,0,0
220,2019-08-09,0,0,0,0
221,2019-08-10,0,0,0,0
222,2019-08-11,0,0,0,0
223,2019-08-12,0,0,0,0
224,2019-08-13,0,0,0,0
225,2019-08-14,0,0,0,0
226,2019-08-15,0,0,0,0
227,2019-08-16,0,0,0,0
228,2019-08-17,0,0,0,0
229,2019-08-18,0,0,0,0
230,2019-08-19,0,0,0,0
231,2019-08-20,0,0,0,0
232,2019-08-21,0,0,0,0
233,2019-08-22,0,0,0,0
234,2019-08-23,0,0,0,0
235,2019-08-24,0,0,0,0
236,2019-08-25,0,0,0,0
237,2019-08-26,0,0,0,0
238,2019-08-27,0,0,0,0
239,2019-08-28,0,0,0,0
240,2019-08-29,0,0,0,0
241,2019-08-30,0,0,0,0
242,2019-08-31,0,0,0,0
243,2019-09-01,0,0,0,0
244,2019-09-02,0,0,0,0
245,2019-09-03,0,0,0,0
246,2019-09-04,0,0,0,0
247,2019-09-05,0,0,0,0
248,2019-09-06,0,0,0,0
249,2019-09-07,0,0,0,0
250,2019-09-08,0,0,0,0
251,2019-09-09,0,0,0,0
252,2019-09-10,0,0,0,0
253,2019-09-11,0,0,0,0
254,2019-09-12,0,0,0,0
255,2019-09-13,0,0,0,0
256,2019-09-14,0,0,0,0
257,2019-09-15,0,0,0,0
258,2019-09-16,0,0,0,0
259,2019-09-17,0,0,0,0
260,2019-09-18,0,0,0,0
261,2019-09-19,0,0,0,0
262,2019-09-20,0,0,0,0
263,2019-09-21,0,0,0,0
264,2019-09-22,0,0,0,0
265,2019-09-23,0,0,0,0
266,2019-09-24,0,0,0,0
267,2019-09-25,0,0,0,0
268,2019-09-26,0,0,0,0
269,2019-09-27,0,0,0,0
270,2019-09-28,0,0,0,0
271,2019-09-29,0,0,0,0
272,2019-09-30,0,0,0,0
273,2019-10-01,0,0,0,0
274,2019-10-02,0,0,0,0
275,2019-10-03,0,0,0,0
276,2019-10-04,0,0,0,0
277,2019-10-05,0,0,0,0
278,2019-10-06,0,0,0,0
279,2019-10-07,0,0,0,0
280,2019-10-08,0,0,0,0
281,2019-10-09,0,0,0,0
282,2019-10-10,0,0,0,0
283,2019-10-11,0,0,0,0
284,2019-10-12,0,0,0,0
285,2019-10-13,0,0,0,0
286,2019-10-14,0,0,0,0
287,2019-10-15,0,0,0,0
288,2019-10-16,0,0,0,0
289,2019-10-17,0,0,0,0
290,2019-10-18,0,0,0,0
